| end of epoch 186 | time:  8.22s | valid loss 11.13 | valid ppl 68273.60
| end of epoch 187 | time:  8.24s | valid loss  8.90 | valid ppl  7333.83
| end of epoch 188 | time:  8.24s | valid loss  8.75 | valid ppl  6327.55
| end of epoch 189 | time:  8.24s | valid loss  9.51 | valid ppl 13462.28
| end of epoch 190 | time:  8.21s | valid loss  9.63 | valid ppl 15176.43
| end of epoch 191 | time:  8.20s | valid loss 10.05 | valid ppl 23092.06
| end of epoch 192 | time:  8.25s | valid loss  9.57 | valid ppl 14360.64
| end of epoch 193 | time:  8.22s | valid loss  8.71 | valid ppl  6063.16
| end of epoch 194 | time:  8.23s | valid loss  8.88 | valid ppl  7172.11
| end of epoch 195 | time:  8.23s | valid loss  9.44 | valid ppl 12642.76
| end of epoch 196 | time:  8.22s | valid loss  9.42 | valid ppl 12288.35
| end of epoch 197 | time:  8.22s | valid loss 10.36 | valid ppl 31533.08
| end of epoch 198 | time:  8.23s | valid loss 10.55 | valid ppl 38208.30
| end of epoch 199 | time:  8.23s | valid loss  9.60 | valid ppl 14816.96
| end of epoch 200 | time:  8.22s | valid loss 10.16 | valid ppl 25727.78
| end of epoch 201 | time:  8.20s | valid loss  9.35 | valid ppl 11467.37
| end of epoch 202 | time:  8.23s | valid loss  9.80 | valid ppl 17955.46
| end of epoch 203 | time:  8.27s | valid loss  8.71 | valid ppl  6076.72
| end of epoch 204 | time:  8.24s | valid loss  9.27 | valid ppl 10620.15
| end of epoch 205 | time:  8.21s | valid loss  9.86 | valid ppl 19162.27
| end of epoch 206 | time:  8.24s | valid loss 10.06 | valid ppl 23377.37
| end of epoch 207 | time:  8.24s | valid loss  9.35 | valid ppl 11455.12
| end of epoch 208 | time:  8.22s | valid loss  9.33 | valid ppl 11288.98
| end of epoch 209 | time:  8.22s | valid loss  9.32 | valid ppl 11144.07
| end of epoch 210 | time:  8.23s | valid loss  9.54 | valid ppl 13910.31
| end of epoch 211 | time:  8.24s | valid loss 10.16 | valid ppl 25817.20
| end of epoch 212 | time:  8.21s | valid loss  8.48 | valid ppl  4828.62
| end of epoch 213 | time:  8.21s | valid loss  8.52 | valid ppl  5012.82
| end of epoch 214 | time:  8.21s | valid loss 10.30 | valid ppl 29631.40
| end of epoch 215 | time:  8.21s | valid loss  9.20 | valid ppl  9925.32
| end of epoch 216 | time:  8.23s | valid loss 10.82 | valid ppl 49978.99
| end of epoch 217 | time:  8.24s | valid loss 10.93 | valid ppl 55992.80
| end of epoch 218 | time:  8.22s | valid loss  9.87 | valid ppl 19290.01
| end of epoch 219 | time:  8.21s | valid loss 10.53 | valid ppl 37335.88
| end of epoch 220 | time:  8.20s | valid loss  8.50 | valid ppl  4914.51
| end of epoch 221 | time:  8.20s | valid loss  9.20 | valid ppl  9927.86
| end of epoch 222 | time:  8.21s | valid loss 10.08 | valid ppl 23905.76
| end of epoch 223 | time:  8.22s | valid loss  9.93 | valid ppl 20584.53
| end of epoch 224 | time:  8.22s | valid loss  9.93 | valid ppl 20475.11
| end of epoch 225 | time:  8.23s | valid loss  9.24 | valid ppl 10303.49
| end of epoch 226 | time:  8.22s | valid loss 12.26 | valid ppl 210715.48
| end of epoch 227 | time:  8.21s | valid loss  8.13 | valid ppl  3409.34
| end of epoch 228 | time:  8.20s | valid loss  9.47 | valid ppl 12997.14
| end of epoch 229 | time:  8.22s | valid loss  8.94 | valid ppl  7611.58
| end of epoch 230 | time:  8.24s | valid loss  9.20 | valid ppl  9884.21
| end of epoch 231 | time:  8.24s | valid loss 10.20 | valid ppl 26925.41
| end of epoch 232 | time:  8.24s | valid loss 10.72 | valid ppl 45078.45
| end of epoch 233 | time:  8.21s | valid loss 10.85 | valid ppl 51343.00
| end of epoch 234 | time:  8.21s | valid loss 11.50 | valid ppl 98964.83
| end of epoch 235 | time:  8.22s | valid loss  9.26 | valid ppl 10547.19
| end of epoch 236 | time:  8.22s | valid loss 11.09 | valid ppl 65353.77
| end of epoch 237 | time:  8.23s | valid loss  9.58 | valid ppl 14542.59
| end of epoch 238 | time:  8.22s | valid loss 10.55 | valid ppl 37997.95
| end of epoch 239 | time:  8.22s | valid loss  9.03 | valid ppl  8370.52
| end of epoch 240 | time:  8.22s | valid loss 10.35 | valid ppl 31167.80
| end of epoch 241 | time:  8.26s | valid loss 10.22 | valid ppl 27352.46
| end of epoch 242 | time:  8.22s | valid loss  9.85 | valid ppl 19017.32
| end of epoch 243 | time:  8.20s | valid loss  9.14 | valid ppl  9297.91
| end of epoch 244 | time:  8.21s | valid loss  9.82 | valid ppl 18430.79
| end of epoch 245 | time:  8.22s | valid loss  8.96 | valid ppl  7788.36
| end of epoch 246 | time:  8.22s | valid loss  9.30 | valid ppl 10926.14
| end of epoch 247 | time:  8.22s | valid loss 10.58 | valid ppl 39499.31
| end of epoch 248 | time:  8.24s | valid loss  9.43 | valid ppl 12440.87
| end of epoch 249 | time:  8.26s | valid loss  9.72 | valid ppl 16614.57
| end of epoch 250 | time:  8.21s | valid loss  9.11 | valid ppl  9020.69
| end of epoch 251 | time:  8.21s | valid loss  9.32 | valid ppl 11119.26
| end of epoch 252 | time:  8.21s | valid loss  9.00 | valid ppl  8065.81
| end of epoch 253 | time:  8.21s | valid loss  8.97 | valid ppl  7854.92
| end of epoch 254 | time:  8.20s | valid loss  9.27 | valid ppl 10648.29
| end of epoch 255 | time:  8.22s | valid loss  8.73 | valid ppl  6165.73
| end of epoch 256 | time:  8.21s | valid loss 10.59 | valid ppl 39598.33
| end of epoch 257 | time:  8.20s | valid loss  8.52 | valid ppl  5020.76
| end of epoch 258 | time:  8.21s | valid loss  9.96 | valid ppl 21210.36
| end of epoch 259 | time:  8.22s | valid loss  8.97 | valid ppl  7856.55
| end of epoch 260 | time:  8.21s | valid loss  8.64 | valid ppl  5652.72
| end of epoch 261 | time:  8.23s | valid loss  9.31 | valid ppl 11044.92
| end of epoch 262 | time:  8.24s | valid loss  9.48 | valid ppl 13047.32
| end of epoch 263 | time:  8.21s | valid loss  9.42 | valid ppl 12336.44
| end of epoch 264 | time:  8.20s | valid loss  9.21 | valid ppl  9964.94
| end of epoch 265 | time:  8.24s | valid loss  8.63 | valid ppl  5611.39
| end of epoch 266 | time:  8.24s | valid loss  9.13 | valid ppl  9256.65
| end of epoch 267 | time:  8.23s | valid loss  9.24 | valid ppl 10330.88
| end of epoch 268 | time:  8.23s | valid loss  9.52 | valid ppl 13687.51
| end of epoch 269 | time:  8.19s | valid loss  8.86 | valid ppl  7017.12
| end of epoch 270 | time:  8.20s | valid loss 11.21 | valid ppl 73510.33
| end of epoch 271 | time:  8.24s | valid loss  8.15 | valid ppl  3457.64
| end of epoch 272 | time:  8.23s | valid loss 11.10 | valid ppl 66283.85
| end of epoch 273 | time:  8.23s | valid loss  9.74 | valid ppl 16935.73
| end of epoch 274 | time:  8.22s | valid loss 10.60 | valid ppl 39974.57
| end of epoch 275 | time:  8.22s | valid loss  8.70 | valid ppl  6015.39
| end of epoch 276 | time:  8.20s | valid loss  9.36 | valid ppl 11669.93
| end of epoch 277 | time:  8.22s | valid loss 10.96 | valid ppl 57486.28
| end of epoch 278 | time:  8.19s | valid loss  9.43 | valid ppl 12430.76
| end of epoch 279 | time:  8.19s | valid loss  8.70 | valid ppl  6027.62
| end of epoch 280 | time:  8.22s | valid loss  9.85 | valid ppl 19045.35
| end of epoch 281 | time:  8.24s | valid loss  9.49 | valid ppl 13218.72
| end of epoch 282 | time:  8.26s | valid loss  9.65 | valid ppl 15562.42
| end of epoch 283 | time:  8.21s | valid loss  9.14 | valid ppl  9289.27
| end of epoch 284 | time:  8.22s | valid loss  9.01 | valid ppl  8168.42
| end of epoch 285 | time:  8.23s | valid loss  9.77 | valid ppl 17568.64
| end of epoch 286 | time:  8.22s | valid loss  9.55 | valid ppl 14009.36
| end of epoch 287 | time:  8.22s | valid loss 10.12 | valid ppl 24927.43
| end of epoch 288 | time:  8.22s | valid loss  8.67 | valid ppl  5810.04
| end of epoch 289 | time:  8.22s | valid loss  9.20 | valid ppl  9863.30
| end of epoch 290 | time:  8.22s | valid loss 11.08 | valid ppl 64866.49
| end of epoch 291 | time:  8.21s | valid loss  9.42 | valid ppl 12314.81
| end of epoch 292 | time:  8.23s | valid loss  8.87 | valid ppl  7109.59
| end of epoch 293 | time:  8.22s | valid loss  9.40 | valid ppl 12059.71
| end of epoch 294 | time:  8.25s | valid loss  9.24 | valid ppl 10348.17
| end of epoch 295 | time:  8.27s | valid loss  9.36 | valid ppl 11558.90
| end of epoch 296 | time:  8.22s | valid loss 11.29 | valid ppl 80379.34
| end of epoch 297 | time:  8.22s | valid loss  9.35 | valid ppl 11516.13
| end of epoch 298 | time:  8.22s | valid loss  9.46 | valid ppl 12850.75
| end of epoch 299 | time:  8.21s | valid loss  9.48 | valid ppl 13033.28
| end of epoch 300 | time:  8.22s | valid loss  9.90 | valid ppl 19925.61
| end of epoch 301 | time:  8.25s | valid loss  8.77 | valid ppl  6452.51
| end of epoch 302 | time:  8.26s | valid loss  9.17 | valid ppl  9595.50
| end of epoch 303 | time:  8.27s | valid loss  9.12 | valid ppl  9110.66
| end of epoch 304 | time:  8.25s | valid loss  9.10 | valid ppl  8936.37
| end of epoch 305 | time:  8.22s | valid loss  9.90 | valid ppl 19929.96
| end of epoch 306 | time:  8.20s | valid loss  8.40 | valid ppl  4426.63
| end of epoch 307 | time:  8.22s | valid loss  8.54 | valid ppl  5105.33
| end of epoch 308 | time:  8.23s | valid loss 11.16 | valid ppl 70496.88
| end of epoch 309 | time:  8.24s | valid loss 10.06 | valid ppl 23361.25
| end of epoch 310 | time:  8.25s | valid loss  8.67 | valid ppl  5808.77
| end of epoch 311 | time:  8.26s | valid loss  8.47 | valid ppl  4788.54
| end of epoch 312 | time:  8.26s | valid loss  8.63 | valid ppl  5583.13
| end of epoch 313 | time:  8.22s | valid loss 10.45 | valid ppl 34436.31
| end of epoch 314 | time:  8.23s | valid loss  9.56 | valid ppl 14201.97
| end of epoch 315 | time:  8.24s | valid loss  8.94 | valid ppl  7631.40
| end of epoch 316 | time:  8.24s | valid loss  8.70 | valid ppl  5998.54
| end of epoch 317 | time:  8.24s | valid loss  9.96 | valid ppl 21141.58
| end of epoch 318 | time:  8.23s | valid loss  8.72 | valid ppl  6137.88
| end of epoch 319 | time:  8.24s | valid loss  8.91 | valid ppl  7379.91
| end of epoch 320 | time:  8.22s | valid loss  9.43 | valid ppl 12475.57
| end of epoch 321 | time:  8.20s | valid loss  9.47 | valid ppl 12921.52
| end of epoch 322 | time:  8.22s | valid loss  9.39 | valid ppl 12018.39
| end of epoch 323 | time:  8.23s | valid loss  9.60 | valid ppl 14723.98
| end of epoch 324 | time:  8.23s | valid loss 11.20 | valid ppl 73148.68
| end of epoch 325 | time:  8.29s | valid loss 10.06 | valid ppl 23350.76
| end of epoch 326 | time:  8.22s | valid loss 10.84 | valid ppl 50887.77
| end of epoch 327 | time:  8.21s | valid loss  8.84 | valid ppl  6904.84
| end of epoch 328 | time:  8.22s | valid loss  9.32 | valid ppl 11114.55
| end of epoch 329 | time:  8.23s | valid loss  9.74 | valid ppl 16972.23
| end of epoch 330 | time:  8.24s | valid loss  8.99 | valid ppl  8015.35
| end of epoch 331 | time:  8.24s | valid loss 10.02 | valid ppl 22451.29
| end of epoch 332 | time:  8.23s | valid loss  9.87 | valid ppl 19434.66
| end of epoch 333 | time:  8.22s | valid loss  9.48 | valid ppl 13096.47
| end of epoch 334 | time:  8.22s | valid loss  8.50 | valid ppl  4905.62
| end of epoch 335 | time:  8.22s | valid loss 10.57 | valid ppl 38939.02
| end of epoch 336 | time:  8.23s | valid loss 10.17 | valid ppl 26078.89
| end of epoch 337 | time:  8.23s | valid loss 10.49 | valid ppl 36110.66
| end of epoch 338 | time:  8.23s | valid loss  9.15 | valid ppl  9457.68
| end of epoch 339 | time:  8.23s | valid loss  8.60 | valid ppl  5415.76
| end of epoch 340 | time:  8.21s | valid loss  8.09 | valid ppl  3259.56
| end of epoch 341 | time:  8.19s | valid loss  9.06 | valid ppl  8584.64
| end of epoch 342 | time:  8.20s | valid loss  8.44 | valid ppl  4628.17
| end of epoch 343 | time:  8.23s | valid loss  8.78 | valid ppl  6531.59
