| end of epoch 147 | time:  8.87s | valid loss  4.57 | valid ppl    96.63
| end of epoch 148 | time:  8.82s | valid loss  4.61 | valid ppl   100.70
| end of epoch 149 | time:  8.87s | valid loss  4.54 | valid ppl    93.26
| end of epoch 150 | time:  8.88s | valid loss  4.52 | valid ppl    91.69
| end of epoch 151 | time:  8.88s | valid loss  4.59 | valid ppl    98.47
| end of epoch 152 | time:  8.89s | valid loss  4.55 | valid ppl    94.50
| end of epoch 153 | time:  8.88s | valid loss  4.62 | valid ppl   101.44
| end of epoch 154 | time:  8.88s | valid loss  4.59 | valid ppl    98.29
| end of epoch 155 | time:  8.90s | valid loss  4.56 | valid ppl    95.17
| end of epoch 156 | time:  8.90s | valid loss  4.63 | valid ppl   103.00
| end of epoch 157 | time:  8.87s | valid loss  4.51 | valid ppl    90.53
| end of epoch 158 | time:  8.87s | valid loss  4.60 | valid ppl    99.28
| end of epoch 159 | time:  8.89s | valid loss  4.44 | valid ppl    84.94
| end of epoch 160 | time:  8.86s | valid loss  4.54 | valid ppl    93.43
| end of epoch 161 | time:  8.90s | valid loss  4.61 | valid ppl   100.94
| end of epoch 162 | time:  8.89s | valid loss  4.66 | valid ppl   105.45
| end of epoch 163 | time:  8.90s | valid loss  4.62 | valid ppl   101.53
| end of epoch 164 | time:  8.89s | valid loss  4.57 | valid ppl    96.72
| end of epoch 165 | time:  8.86s | valid loss  4.57 | valid ppl    96.08
| end of epoch 166 | time:  8.86s | valid loss  4.53 | valid ppl    93.09
| end of epoch 167 | time:  8.90s | valid loss  4.54 | valid ppl    93.66
| end of epoch 168 | time:  8.88s | valid loss  4.50 | valid ppl    89.93
| end of epoch 169 | time:  8.87s | valid loss  4.48 | valid ppl    88.52
| end of epoch 170 | time:  8.88s | valid loss  4.60 | valid ppl    99.62
| end of epoch 171 | time:  8.88s | valid loss  4.58 | valid ppl    97.57
| end of epoch 172 | time:  8.90s | valid loss  4.56 | valid ppl    95.16
| end of epoch 173 | time:  8.89s | valid loss  4.61 | valid ppl   100.12
| end of epoch 174 | time:  8.90s | valid loss  4.56 | valid ppl    95.81
| end of epoch 175 | time:  8.87s | valid loss  4.58 | valid ppl    97.06
| end of epoch 176 | time:  8.88s | valid loss  4.55 | valid ppl    94.53
| end of epoch 177 | time:  8.86s | valid loss  4.53 | valid ppl    92.31
| end of epoch 178 | time:  8.91s | valid loss  4.54 | valid ppl    93.72
| end of epoch 179 | time:  8.91s | valid loss  4.58 | valid ppl    97.37
| end of epoch 180 | time:  8.86s | valid loss  4.59 | valid ppl    98.01
| end of epoch 181 | time:  8.87s | valid loss  4.59 | valid ppl    98.49
| end of epoch 182 | time:  8.85s | valid loss  4.66 | valid ppl   105.44
