| end of epoch 355 | time:  9.08s | valid loss  3.86 | valid ppl    47.25
| end of epoch 356 | time:  9.15s | valid loss  3.85 | valid ppl    46.98
| end of epoch 357 | time:  9.14s | valid loss  3.84 | valid ppl    46.32
| end of epoch 358 | time:  9.13s | valid loss  3.84 | valid ppl    46.41
| end of epoch 359 | time:  9.09s | valid loss  3.85 | valid ppl    47.14
| end of epoch 360 | time:  9.12s | valid loss  3.84 | valid ppl    46.34
| end of epoch 361 | time:  9.10s | valid loss  3.84 | valid ppl    46.51
| end of epoch 362 | time:  9.10s | valid loss  3.87 | valid ppl    47.72
| end of epoch 363 | time:  9.11s | valid loss  3.84 | valid ppl    46.41
| end of epoch 364 | time:  9.14s | valid loss  3.86 | valid ppl    47.38
| end of epoch 365 | time:  9.10s | valid loss  3.84 | valid ppl    46.75
| end of epoch 366 | time:  9.09s | valid loss  3.85 | valid ppl    47.02
| end of epoch 367 | time:  9.10s | valid loss  3.83 | valid ppl    46.20
| end of epoch 368 | time:  9.09s | valid loss  3.86 | valid ppl    47.28
