| end of epoch 155 | time:  7.94s | valid loss 12.90 | valid ppl 401469.37
| end of epoch 156 | time:  7.94s | valid loss 16.74 | valid ppl 18594389.48
| end of epoch 157 | time:  7.99s | valid loss 16.96 | valid ppl 23306727.17
| end of epoch 158 | time:  7.95s | valid loss 11.99 | valid ppl 161793.38
| end of epoch 159 | time:  7.93s | valid loss 12.51 | valid ppl 270638.22
| end of epoch 160 | time:  7.94s | valid loss 12.30 | valid ppl 218839.50
| end of epoch 161 | time:  7.95s | valid loss 12.52 | valid ppl 272463.83
| end of epoch 162 | time:  7.95s | valid loss 12.17 | valid ppl 192599.74
| end of epoch 163 | time:  7.95s | valid loss 11.50 | valid ppl 99082.41
| end of epoch 164 | time:  8.01s | valid loss 14.03 | valid ppl 1241668.55
| end of epoch 165 | time:  7.96s | valid loss 11.97 | valid ppl 157872.85
| end of epoch 166 | time:  7.94s | valid loss 12.78 | valid ppl 355147.13
| end of epoch 167 | time:  7.93s | valid loss 13.58 | valid ppl 792516.12
| end of epoch 168 | time:  7.95s | valid loss 12.24 | valid ppl 206911.75
| end of epoch 169 | time:  7.94s | valid loss 14.85 | valid ppl 2807066.95
| end of epoch 170 | time:  7.94s | valid loss 12.71 | valid ppl 331741.30
| end of epoch 171 | time:  7.96s | valid loss 14.28 | valid ppl 1593074.60
| end of epoch 172 | time:  7.99s | valid loss 20.69 | valid ppl 963900000.38
| end of epoch 173 | time:  7.96s | valid loss 16.59 | valid ppl 16106439.39
| end of epoch 174 | time:  7.94s | valid loss 16.33 | valid ppl 12421553.12
| end of epoch 175 | time:  7.93s | valid loss 16.30 | valid ppl 11945678.85
| end of epoch 176 | time:  7.96s | valid loss 12.06 | valid ppl 172644.42
| end of epoch 177 | time:  7.96s | valid loss 12.05 | valid ppl 171868.32
| end of epoch 178 | time:  7.98s | valid loss 11.44 | valid ppl 93025.57
| end of epoch 179 | time:  7.96s | valid loss 12.71 | valid ppl 331634.32
| end of epoch 180 | time:  7.94s | valid loss 11.76 | valid ppl 128482.46
| end of epoch 181 | time:  7.95s | valid loss 11.46 | valid ppl 94895.76
| end of epoch 182 | time:  7.97s | valid loss 11.42 | valid ppl 91412.54
| end of epoch 183 | time:  7.98s | valid loss 12.27 | valid ppl 212867.04
| end of epoch 184 | time:  7.97s | valid loss 17.20 | valid ppl 29509778.12
| end of epoch 185 | time:  7.95s | valid loss 12.29 | valid ppl 218583.12
| end of epoch 186 | time:  7.96s | valid loss 13.03 | valid ppl 453726.91
| end of epoch 187 | time:  7.94s | valid loss 11.39 | valid ppl 88550.52
| end of epoch 188 | time:  7.94s | valid loss 11.35 | valid ppl 85311.30
| end of epoch 189 | time:  7.95s | valid loss 12.12 | valid ppl 184173.26
| end of epoch 190 | time:  7.95s | valid loss 12.97 | valid ppl 427666.14
| end of epoch 191 | time:  7.99s | valid loss 12.05 | valid ppl 171848.75
| end of epoch 192 | time:  7.97s | valid loss 13.10 | valid ppl 487536.05
| end of epoch 193 | time:  7.92s | valid loss 13.45 | valid ppl 696653.36
| end of epoch 194 | time:  7.94s | valid loss 20.05 | valid ppl 509911435.75
| end of epoch 195 | time:  7.94s | valid loss 15.42 | valid ppl 4984741.65
| end of epoch 196 | time:  7.94s | valid loss 13.09 | valid ppl 482397.20
| end of epoch 197 | time:  7.96s | valid loss 13.27 | valid ppl 582192.43
| end of epoch 198 | time:  7.95s | valid loss 17.29 | valid ppl 32424854.43
| end of epoch 199 | time:  7.95s | valid loss 14.00 | valid ppl 1199345.61
