| end of epoch 144 | time:  8.86s | valid loss  4.14 | valid ppl    63.04
| end of epoch 145 | time:  8.86s | valid loss  4.15 | valid ppl    63.57
| end of epoch 146 | time:  8.88s | valid loss  4.15 | valid ppl    63.53
| end of epoch 147 | time:  8.87s | valid loss  4.18 | valid ppl    65.65
| end of epoch 148 | time:  8.90s | valid loss  4.18 | valid ppl    65.65
| end of epoch 149 | time:  8.87s | valid loss  4.17 | valid ppl    64.84
| end of epoch 150 | time:  8.85s | valid loss  4.15 | valid ppl    63.73
| end of epoch 151 | time:  8.85s | valid loss  4.16 | valid ppl    64.37
| end of epoch 152 | time:  8.88s | valid loss  4.17 | valid ppl    64.96
| end of epoch 153 | time:  8.89s | valid loss  4.17 | valid ppl    64.55
| end of epoch 154 | time:  8.87s | valid loss  4.18 | valid ppl    65.42
| end of epoch 155 | time:  8.87s | valid loss  4.16 | valid ppl    64.30
| end of epoch 156 | time:  8.86s | valid loss  4.16 | valid ppl    64.34
| end of epoch 157 | time:  8.91s | valid loss  4.16 | valid ppl    64.26
| end of epoch 158 | time:  8.89s | valid loss  4.16 | valid ppl    64.13
| end of epoch 159 | time:  8.90s | valid loss  4.16 | valid ppl    64.03
| end of epoch 160 | time:  8.89s | valid loss  4.16 | valid ppl    63.78
| end of epoch 161 | time:  8.89s | valid loss  4.17 | valid ppl    64.86
| end of epoch 162 | time:  8.86s | valid loss  4.18 | valid ppl    65.11
| end of epoch 163 | time:  8.88s | valid loss  4.17 | valid ppl    64.45
| end of epoch 164 | time:  8.91s | valid loss  4.17 | valid ppl    64.56
| end of epoch 165 | time:  8.89s | valid loss  4.19 | valid ppl    65.92
| end of epoch 166 | time:  8.88s | valid loss  4.17 | valid ppl    64.80
| end of epoch 167 | time:  8.86s | valid loss  4.19 | valid ppl    65.89
| end of epoch 168 | time:  8.89s | valid loss  4.18 | valid ppl    65.35
| end of epoch 169 | time:  8.86s | valid loss  4.17 | valid ppl    64.77
| end of epoch 170 | time:  8.89s | valid loss  4.17 | valid ppl    64.51
| end of epoch 171 | time:  8.87s | valid loss  4.18 | valid ppl    65.24
| end of epoch 172 | time:  8.88s | valid loss  4.17 | valid ppl    64.48
| end of epoch 173 | time:  8.86s | valid loss  4.17 | valid ppl    64.97
| end of epoch 174 | time:  8.86s | valid loss  4.17 | valid ppl    64.43
| end of epoch 175 | time:  8.87s | valid loss  4.18 | valid ppl    65.13
| end of epoch 176 | time:  8.85s | valid loss  4.19 | valid ppl    65.85
| end of epoch 177 | time:  8.88s | valid loss  4.18 | valid ppl    65.04
| end of epoch 178 | time:  8.90s | valid loss  4.16 | valid ppl    64.20
| end of epoch 179 | time:  8.89s | valid loss  4.20 | valid ppl    66.73
| end of epoch 180 | time:  8.86s | valid loss  4.18 | valid ppl    65.16
| end of epoch 181 | time:  8.85s | valid loss  4.19 | valid ppl    65.72
| end of epoch 182 | time:  8.87s | valid loss  4.22 | valid ppl    67.88
| end of epoch 183 | time:  8.88s | valid loss  4.21 | valid ppl    67.41
| end of epoch 184 | time:  8.89s | valid loss  4.20 | valid ppl    66.54
| end of epoch 185 | time:  8.90s | valid loss  4.19 | valid ppl    66.35
| end of epoch 186 | time:  8.89s | valid loss  4.19 | valid ppl    66.22
| end of epoch 187 | time:  8.87s | valid loss  4.19 | valid ppl    66.03
| end of epoch 188 | time:  8.86s | valid loss  4.18 | valid ppl    65.59
| end of epoch 189 | time:  8.87s | valid loss  4.21 | valid ppl    67.19
| end of epoch 190 | time:  8.87s | valid loss  4.17 | valid ppl    64.63
| end of epoch 191 | time:  8.88s | valid loss  4.18 | valid ppl    65.40
| end of epoch 192 | time:  8.88s | valid loss  4.20 | valid ppl    66.38
