| end of epoch 267 | time:  7.93s | valid loss  4.50 | valid ppl    89.69
| end of epoch 268 | time:  7.92s | valid loss  4.48 | valid ppl    88.16
| end of epoch 269 | time:  7.92s | valid loss  4.50 | valid ppl    89.60
| end of epoch 270 | time:  7.91s | valid loss  4.50 | valid ppl    89.73
| end of epoch 271 | time:  7.93s | valid loss  4.48 | valid ppl    88.49
| end of epoch 272 | time:  7.94s | valid loss  4.53 | valid ppl    92.44
| end of epoch 273 | time:  7.94s | valid loss  4.49 | valid ppl    89.46
| end of epoch 274 | time:  7.93s | valid loss  4.50 | valid ppl    89.57
| end of epoch 275 | time:  7.94s | valid loss  4.50 | valid ppl    89.82
| end of epoch 276 | time:  7.93s | valid loss  4.49 | valid ppl    89.35
| end of epoch 277 | time:  7.92s | valid loss  4.48 | valid ppl    88.22
| end of epoch 278 | time:  7.92s | valid loss  4.50 | valid ppl    90.04
| end of epoch 279 | time:  7.94s | valid loss  4.49 | valid ppl    88.99
| end of epoch 280 | time:  7.93s | valid loss  4.53 | valid ppl    92.90
| end of epoch 281 | time:  7.93s | valid loss  4.48 | valid ppl    88.14
| end of epoch 282 | time:  7.93s | valid loss  4.48 | valid ppl    88.21
| end of epoch 283 | time:  7.95s | valid loss  4.51 | valid ppl    91.30
| end of epoch 284 | time:  7.91s | valid loss  4.47 | valid ppl    86.98
| end of epoch 285 | time:  7.93s | valid loss  4.47 | valid ppl    87.47
| end of epoch 286 | time:  7.94s | valid loss  4.51 | valid ppl    90.69
| end of epoch 287 | time:  7.93s | valid loss  4.48 | valid ppl    88.54
| end of epoch 288 | time:  7.94s | valid loss  4.50 | valid ppl    89.97
| end of epoch 289 | time:  7.93s | valid loss  4.51 | valid ppl    91.25
| end of epoch 290 | time:  7.96s | valid loss  4.46 | valid ppl    86.46
| end of epoch 291 | time:  7.92s | valid loss  4.48 | valid ppl    88.24
| end of epoch 292 | time:  7.93s | valid loss  4.54 | valid ppl    93.46
| end of epoch 293 | time:  7.94s | valid loss  4.51 | valid ppl    91.00
| end of epoch 294 | time:  7.93s | valid loss  4.49 | valid ppl    89.20
| end of epoch 295 | time:  7.94s | valid loss  4.47 | valid ppl    87.61
| end of epoch 296 | time:  7.95s | valid loss  4.54 | valid ppl    93.30
| end of epoch 297 | time:  7.96s | valid loss  4.50 | valid ppl    90.41
| end of epoch 298 | time:  7.90s | valid loss  4.52 | valid ppl    91.98
| end of epoch 299 | time:  7.92s | valid loss  4.51 | valid ppl    91.05
| end of epoch 300 | time:  7.93s | valid loss  4.49 | valid ppl    89.14
| end of epoch 301 | time:  7.94s | valid loss  4.47 | valid ppl    87.40
| end of epoch 302 | time:  7.93s | valid loss  4.49 | valid ppl    89.15
| end of epoch 303 | time:  7.92s | valid loss  4.49 | valid ppl    89.54
| end of epoch 304 | time:  7.92s | valid loss  4.50 | valid ppl    89.99
| end of epoch 305 | time:  7.94s | valid loss  4.48 | valid ppl    88.45
| end of epoch 306 | time:  7.91s | valid loss  4.50 | valid ppl    90.28
| end of epoch 307 | time:  7.92s | valid loss  4.51 | valid ppl    90.91
| end of epoch 308 | time:  7.93s | valid loss  4.54 | valid ppl    93.88
| end of epoch 309 | time:  7.93s | valid loss  4.57 | valid ppl    96.90
| end of epoch 310 | time:  7.94s | valid loss  4.52 | valid ppl    92.08
| end of epoch 311 | time:  7.98s | valid loss  4.51 | valid ppl    91.23
| end of epoch 312 | time:  7.97s | valid loss  4.53 | valid ppl    93.21
| end of epoch 313 | time:  7.91s | valid loss  4.51 | valid ppl    90.93
| end of epoch 314 | time:  7.92s | valid loss  4.50 | valid ppl    90.32
| end of epoch 315 | time:  7.95s | valid loss  4.54 | valid ppl    93.54
| end of epoch 316 | time:  7.94s | valid loss  4.51 | valid ppl    90.95
| end of epoch 317 | time:  7.95s | valid loss  4.52 | valid ppl    91.89
| end of epoch 318 | time:  7.96s | valid loss  4.53 | valid ppl    92.37
| end of epoch 319 | time:  7.94s | valid loss  4.53 | valid ppl    92.95
| end of epoch 320 | time:  7.94s | valid loss  4.53 | valid ppl    92.47
| end of epoch 321 | time:  7.96s | valid loss  4.51 | valid ppl    90.65
| end of epoch 322 | time:  7.97s | valid loss  4.53 | valid ppl    92.91
| end of epoch 323 | time:  7.94s | valid loss  4.53 | valid ppl    92.70
| end of epoch 324 | time:  7.93s | valid loss  4.52 | valid ppl    91.69
| end of epoch 325 | time:  7.94s | valid loss  4.49 | valid ppl    88.90
| end of epoch 326 | time:  7.95s | valid loss  4.51 | valid ppl    90.84
| end of epoch 327 | time:  7.93s | valid loss  4.53 | valid ppl    92.85
| end of epoch 328 | time:  7.91s | valid loss  4.50 | valid ppl    90.11
| end of epoch 329 | time:  7.93s | valid loss  4.52 | valid ppl    91.71
| end of epoch 330 | time:  7.94s | valid loss  4.51 | valid ppl    91.04
| end of epoch 331 | time:  7.96s | valid loss  4.53 | valid ppl    92.46
| end of epoch 332 | time:  7.96s | valid loss  4.53 | valid ppl    92.40
| end of epoch 333 | time:  7.96s | valid loss  4.52 | valid ppl    92.14
| end of epoch 334 | time:  7.96s | valid loss  4.53 | valid ppl    92.51
| end of epoch 335 | time:  7.95s | valid loss  4.51 | valid ppl    91.14
| end of epoch 336 | time:  7.93s | valid loss  4.52 | valid ppl    92.19
| end of epoch 337 | time:  7.94s | valid loss  4.53 | valid ppl    92.45
| end of epoch 338 | time:  7.93s | valid loss  4.52 | valid ppl    91.53
| end of epoch 339 | time:  7.95s | valid loss  4.53 | valid ppl    93.18
| end of epoch 340 | time:  7.93s | valid loss  4.51 | valid ppl    91.16
