| end of epoch 124 | time:  9.13s | valid loss  4.54 | valid ppl    94.04
| end of epoch 125 | time:  9.09s | valid loss  4.64 | valid ppl   103.20
| end of epoch 126 | time:  9.13s | valid loss  4.63 | valid ppl   102.76
| end of epoch 127 | time:  9.14s | valid loss  4.65 | valid ppl   104.96
| end of epoch 128 | time:  9.18s | valid loss  4.56 | valid ppl    95.28
| end of epoch 129 | time:  9.18s | valid loss  4.57 | valid ppl    96.59
| end of epoch 130 | time:  9.14s | valid loss  4.71 | valid ppl   111.54
| end of epoch 131 | time:  9.09s | valid loss  4.62 | valid ppl   101.23
| end of epoch 132 | time:  9.13s | valid loss  4.58 | valid ppl    97.52
| end of epoch 133 | time:  9.14s | valid loss  4.63 | valid ppl   102.81
| end of epoch 134 | time:  9.14s | valid loss  4.64 | valid ppl   103.04
| end of epoch 135 | time:  9.14s | valid loss  4.57 | valid ppl    96.41
| end of epoch 136 | time:  9.14s | valid loss  4.58 | valid ppl    97.61
| end of epoch 137 | time:  9.12s | valid loss  4.59 | valid ppl    98.86
| end of epoch 138 | time:  9.13s | valid loss  4.61 | valid ppl   100.23
| end of epoch 139 | time:  9.13s | valid loss  4.61 | valid ppl   100.59
| end of epoch 140 | time:  9.14s | valid loss  4.58 | valid ppl    97.64
| end of epoch 141 | time:  9.16s | valid loss  4.59 | valid ppl    98.39
| end of epoch 142 | time:  9.19s | valid loss  4.60 | valid ppl    99.96
| end of epoch 143 | time:  9.16s | valid loss  4.65 | valid ppl   104.79
| end of epoch 144 | time:  9.12s | valid loss  4.57 | valid ppl    96.89
| end of epoch 145 | time:  9.14s | valid loss  4.53 | valid ppl    93.12
| end of epoch 146 | time:  9.17s | valid loss  4.54 | valid ppl    93.84
| end of epoch 147 | time:  9.17s | valid loss  4.61 | valid ppl   100.90
| end of epoch 148 | time:  9.14s | valid loss  4.68 | valid ppl   108.12
| end of epoch 149 | time:  9.12s | valid loss  4.62 | valid ppl   101.04
| end of epoch 150 | time:  9.15s | valid loss  4.59 | valid ppl    98.01
| end of epoch 151 | time:  9.13s | valid loss  4.66 | valid ppl   105.66
| end of epoch 152 | time:  9.11s | valid loss  4.64 | valid ppl   103.10
