| end of epoch 128 | time: 13.22s | valid loss  3.91 | valid ppl    50.11
| end of epoch 129 | time: 13.23s | valid loss  3.91 | valid ppl    50.05
| end of epoch 130 | time: 13.23s | valid loss  3.90 | valid ppl    49.62
| end of epoch 131 | time: 13.24s | valid loss  3.92 | valid ppl    50.56
| end of epoch 132 | time: 13.23s | valid loss  3.91 | valid ppl    49.76
| end of epoch 133 | time: 13.24s | valid loss  3.91 | valid ppl    49.91
| end of epoch 134 | time: 13.23s | valid loss  3.90 | valid ppl    49.48
| end of epoch 135 | time: 13.23s | valid loss  3.92 | valid ppl    50.28
| end of epoch 136 | time: 13.23s | valid loss  3.88 | valid ppl    48.50
| end of epoch 137 | time: 13.23s | valid loss  3.91 | valid ppl    49.95
| end of epoch 138 | time: 13.23s | valid loss  3.91 | valid ppl    49.82
| end of epoch 139 | time: 13.23s | valid loss  3.91 | valid ppl    50.03
| end of epoch 140 | time: 13.24s | valid loss  3.90 | valid ppl    49.63
| end of epoch 141 | time: 13.23s | valid loss  3.92 | valid ppl    50.37
| end of epoch 142 | time: 13.23s | valid loss  3.90 | valid ppl    49.59
| end of epoch 143 | time: 13.23s | valid loss  3.89 | valid ppl    49.09
| end of epoch 144 | time: 13.23s | valid loss  3.90 | valid ppl    49.40
| end of epoch 145 | time: 13.23s | valid loss  3.91 | valid ppl    49.97
| end of epoch 146 | time: 13.23s | valid loss  3.90 | valid ppl    49.46
| end of epoch 147 | time: 13.24s | valid loss  3.92 | valid ppl    50.21
| end of epoch 148 | time: 13.22s | valid loss  3.94 | valid ppl    51.17
| end of epoch 149 | time: 13.24s | valid loss  3.92 | valid ppl    50.38
| end of epoch 150 | time: 13.23s | valid loss  3.89 | valid ppl    48.90
| end of epoch 151 | time: 13.23s | valid loss  3.90 | valid ppl    49.60
| end of epoch 152 | time: 13.23s | valid loss  3.92 | valid ppl    50.23
| end of epoch 153 | time: 13.23s | valid loss  3.90 | valid ppl    49.53
| end of epoch 154 | time: 13.24s | valid loss  3.93 | valid ppl    50.84
| end of epoch 155 | time: 13.23s | valid loss  3.90 | valid ppl    49.44
| end of epoch 156 | time: 13.23s | valid loss  3.90 | valid ppl    49.62
| end of epoch 157 | time: 13.23s | valid loss  3.91 | valid ppl    49.89
| end of epoch 158 | time: 13.23s | valid loss  3.91 | valid ppl    49.72
| end of epoch 159 | time: 13.24s | valid loss  3.90 | valid ppl    49.31
| end of epoch 160 | time: 13.24s | valid loss  3.90 | valid ppl    49.55
| end of epoch 161 | time: 13.24s | valid loss  3.91 | valid ppl    49.95
| end of epoch 162 | time: 13.23s | valid loss  3.93 | valid ppl    50.70
| end of epoch 163 | time: 13.24s | valid loss  3.91 | valid ppl    49.78
| end of epoch 164 | time: 13.23s | valid loss  3.90 | valid ppl    49.23
| end of epoch 165 | time: 13.22s | valid loss  3.91 | valid ppl    49.92
| end of epoch 166 | time: 13.23s | valid loss  3.89 | valid ppl    49.13
| end of epoch 167 | time: 13.23s | valid loss  3.91 | valid ppl    50.00
| end of epoch 168 | time: 13.24s | valid loss  3.91 | valid ppl    50.09
| end of epoch 169 | time: 13.23s | valid loss  3.91 | valid ppl    50.15
| end of epoch 170 | time: 13.23s | valid loss  3.90 | valid ppl    49.42
| end of epoch 171 | time: 13.22s | valid loss  3.91 | valid ppl    49.81
| end of epoch 172 | time: 13.23s | valid loss  3.90 | valid ppl    49.23
| end of epoch 173 | time: 13.23s | valid loss  3.91 | valid ppl    49.80
| end of epoch 174 | time: 13.23s | valid loss  3.91 | valid ppl    49.73
| end of epoch 175 | time: 13.23s | valid loss  3.91 | valid ppl    49.68
| end of epoch 176 | time: 13.23s | valid loss  3.91 | valid ppl    49.75
| end of epoch 177 | time: 13.23s | valid loss  3.90 | valid ppl    49.44
| end of epoch 178 | time: 13.23s | valid loss  3.89 | valid ppl    49.05
| end of epoch 179 | time: 13.23s | valid loss  3.93 | valid ppl    50.73
| end of epoch 180 | time: 13.24s | valid loss  3.90 | valid ppl    49.27
| end of epoch 181 | time: 13.23s | valid loss  3.91 | valid ppl    49.83
| end of epoch 182 | time: 13.24s | valid loss  3.93 | valid ppl    51.13
| end of epoch 183 | time: 13.23s | valid loss  3.92 | valid ppl    50.60
| end of epoch 184 | time: 13.24s | valid loss  3.91 | valid ppl    49.91
| end of epoch 185 | time: 13.23s | valid loss  3.91 | valid ppl    49.73
| end of epoch 186 | time: 13.23s | valid loss  3.91 | valid ppl    49.95
| end of epoch 187 | time: 13.24s | valid loss  3.91 | valid ppl    49.84
| end of epoch 188 | time: 13.23s | valid loss  3.90 | valid ppl    49.46
| end of epoch 189 | time: 13.24s | valid loss  3.93 | valid ppl    50.66
| end of epoch 190 | time: 13.23s | valid loss  3.90 | valid ppl    49.38
| end of epoch 191 | time: 13.23s | valid loss  3.91 | valid ppl    49.66
| end of epoch 192 | time: 13.23s | valid loss  3.91 | valid ppl    49.75
| end of epoch 193 | time: 13.22s | valid loss  3.92 | valid ppl    50.47
| end of epoch 194 | time: 13.24s | valid loss  3.91 | valid ppl    49.85
| end of epoch 195 | time: 13.24s | valid loss  3.90 | valid ppl    49.56
| end of epoch 196 | time: 13.24s | valid loss  3.91 | valid ppl    49.96
| end of epoch 197 | time: 13.23s | valid loss  3.90 | valid ppl    49.59
| end of epoch 198 | time: 13.23s | valid loss  3.91 | valid ppl    49.74
| end of epoch 199 | time: 13.24s | valid loss  3.91 | valid ppl    49.81
| end of epoch 200 | time: 13.22s | valid loss  3.93 | valid ppl    50.86
| end of epoch 201 | time: 13.24s | valid loss  3.90 | valid ppl    49.35
| end of epoch 202 | time: 13.23s | valid loss  3.90 | valid ppl    49.36
| end of epoch 203 | time: 13.23s | valid loss  3.91 | valid ppl    50.02
| end of epoch 204 | time: 13.23s | valid loss  3.90 | valid ppl    49.63
| end of epoch 205 | time: 13.23s | valid loss  3.89 | valid ppl    48.90
| end of epoch 206 | time: 13.23s | valid loss  3.91 | valid ppl    49.96
| end of epoch 207 | time: 13.23s | valid loss  3.89 | valid ppl    49.02
| end of epoch 208 | time: 13.24s | valid loss  3.91 | valid ppl    49.81
| end of epoch 209 | time: 13.23s | valid loss  3.93 | valid ppl    50.88
| end of epoch 210 | time: 13.24s | valid loss  3.89 | valid ppl    49.12
| end of epoch 211 | time: 13.23s | valid loss  3.92 | valid ppl    50.24
| end of epoch 212 | time: 13.23s | valid loss  3.92 | valid ppl    50.54
| end of epoch 213 | time: 13.23s | valid loss  3.92 | valid ppl    50.58
| end of epoch 214 | time: 13.23s | valid loss  3.90 | valid ppl    49.50
| end of epoch 215 | time: 13.24s | valid loss  3.92 | valid ppl    50.40
| end of epoch 216 | time: 13.23s | valid loss  3.91 | valid ppl    49.66
| end of epoch 217 | time: 13.24s | valid loss  3.91 | valid ppl    50.04
| end of epoch 218 | time: 13.22s | valid loss  3.91 | valid ppl    49.65
| end of epoch 219 | time: 13.23s | valid loss  3.91 | valid ppl    49.89
| end of epoch 220 | time: 13.23s | valid loss  3.90 | valid ppl    49.50
